title,author,isbn
How the Grinch Stole Christmas!,Dr. Seuss,9780007173044
The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,9780345453747
Atonement,Ian McEwan,9780385721790
The Importance of Being Earnest,Oscar Wilde,9781580495806
"Eat, Pray, Love",Elizabeth Gilbert (Goodreads Author),9780143038412
Their Eyes Were Watching God,Zora Neale Hurston,9780061120060
The Three Musketeers,Alexandre Dumas,9999999999999
The Wonderful Wizard of Oz,"L. Frank Baum, W.W. Denslow (Illustrator)",9780140621679
Frostbite,Richelle Mead (Goodreads Author),9999999999999
Goodnight Moon,"Margaret Wise Brown, Clement Hurd (Illustrator)",9780060775858
The Lorax,Dr. Seuss,9780679889106
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","Terry Pratchett, Neil Gaiman (Goodreads Author)",9999999999999
Blood Promise,Richelle Mead (Goodreads Author),9781595141989
Tess of the D'Urbervilles,"Thomas Hardy, Margaret R. Higonnet (Introduction), Maria Grazia Griffini (Translator), Tim Dolin (Notes)",9999999999999
The Good Earth,Pearl S. Buck,9781416500186
Heart of Darkness,"Joseph Conrad, Aníbal Fernandes (Translator)",9781892295491
The Battle of the Labyrinth,Rick Riordan (Goodreads Author),9999999999999
A Midsummer Night's Dream,"William Shakespeare, Paul Werstine (Editor), Barbara A. Mowat (Editor), Catherine Belsey (Contributor)",9780743477543
Clockwork Princess,Cassandra Clare (Goodreads Author),9781406321340
The Prophet,Kahlil Gibran,9780001000391
The Mists of Avalon,Marion Zimmer Bradley,B000FC1JCQ
The Titan's Curse,Rick Riordan (Goodreads Author),9780141382890
The Sea of Monsters,Rick Riordan (Goodreads Author),9780786856862
The Joy Luck Club,Amy Tan (Goodreads Author),9780143038092
Alice in Wonderland,"Jane Carruth (Adapted By), Lewis Carroll (Original Story By), Rene Cloke (Illustrator)",9780517223628
The Call of the Wild,"Jack London, Avi (Introduction)",9780439227148
Jonathan Livingston Seagull,"Richard Bach (Goodreads Author), Russell Munson (Photographer)",9780743278904
Madame Bovary,"Gustave Flaubert, Mark Overstall (Contributor), Paul De Man (Editor), Malcolm Bowie (Introduction), Margaret Mauldon (Translator)",9780192840394
The Phantom Tollbooth,"Norton Juster, Jules Feiffer (Illustrator)",9780394820378
Bridge to Terabithia,Katherine Paterson,B001UFP6JY
The Hunger Games Trilogy Boxset,"Suzanne Collins, Guillaume Fournier (Translator), Pilar Ramírez Tello (Goodreads Author) (Translator), Hanna Hörl (Illustrator), Sylke Hachmeister (Translator), Peter Klöss (Translator)",9780545265355
"Oh, the Places You'll Go!",Dr. Seuss,9780679805274
The Girl Who Played with Fire,"Stieg Larsson, Reg Keeland (Translator)",9780307269980
The Maze Runner,James Dashner (Goodreads Author),9780385737944
The Neverending Story,"Michael Ende, Ralph Manheim (Translator), Roswitha Quadflieg (Illustrator)",9780525457589
Oliver Twist,"Charles Dickens, Philip Horne (Introduction), Gerald Dickens (Narrator), 查尔斯·狄更斯, 吴倩卓 (Translator)",9999999999999
Ulysses,"James Joyce, Morris L. Ernst (Foreword), John M. Woolsey (Foreword)",9999999999999
Treasure Island,"Robert Louis Stevenson, David W. Whitehead (Introduction), Richard S. Hartmetz (Goodreads Author) (Editor)",9780753453803
Fifty Shades of Grey,E.L. James (Goodreads Author),9781612130293
The Clan of the Cave Bear,Jean M. Auel,B00466HQ2Y
A Storm of Swords,George R.R. Martin,9780553573428
The Canterbury Tales,"Geoffrey Chaucer, Nevill Coghill (Translator)",9780140424386
The World According to Garp,John Irving (Goodreads Author),9780345915597
A Farewell to Arms,Ernest Hemingway,9780099910107
David Copperfield,"Charles Dickens, Jeremy Tambling (Introduction)",9999999999999
Tote Mädchen lügen nicht,"Jay Asher (Goodreads Author), Knut Krüger (Übersetzer)",9783570160206
Wicked: The Life and Times of the Wicked Witch of the West,"Gregory Maguire, Douglas Smith (Illustrator)",9780060987107
Shōgun,James Clavell,9780440178002
Extremely Loud & Incredibly Close,Jonathan Safran Foer (Goodreads Author),9780618711659
Murder on the Orient Express,Agatha Christie,9780007119318
His Dark Materials,Philip Pullman,9780440238607
A Little Princess,"Frances Hodgson Burnett, Nancy Bond (Foreword)",9780142437018
The Other Boleyn Girl,Philippa Gregory (Goodreads Author),9999999999999
Schindler's List,Thomas Keneally,9780340606513
The Boy in the Striped Pajamas,John Boyne,9999999999999
Jurassic Park,Michael Crichton,B007UH4D3G
Last Sacrifice,Richelle Mead (Goodreads Author),9781595143068
The Night Circus,Erin Morgenstern (Goodreads Author),9780385534635
Fallen,Lauren Kate (Goodreads Author),9780385738934
The Silmarillion,"J.R.R. Tolkien, Christopher Tolkien (Editor), Ted Nasmith (Illustrator)",9780618391110
The Secret Magdalene,Ki Longfellow (Goodreads Author),9780307346667
Beloved,Toni Morrison,9781400033416
The Trial,"Franz Kafka, Max Brod (Afterword), Willa Muir (Translator), Edwin Muir (Translator)",9999999999999
A Confederacy of Dunces,"John Kennedy Toole, Walker Percy (Foreword)",9780802130204
The Sun Also Rises,Ernest Hemingway,9999999999999
The Selection,Kiera Cass (Goodreads Author),9780062059932
The Velveteen Rabbit,"Margery Williams Bianco, William Nicholson (Illustrator)",9780380002559
Catching Fire,Suzanne Collins,9780439023498
The Lost Hero,Rick Riordan (Goodreads Author),9781423113393
Throne of Glass,Sarah J. Maas (Goodreads Author),9999999999999
Spirit Bound,Richelle Mead (Goodreads Author),9781595142504
Clockwork Prince,Cassandra Clare (Goodreads Author),9781416975885
The Iliad/The Odyssey,"Homer, Robert Fagles (Translator), Bernard Knox (Introduction)",9780147712554
The Crucible,"Arthur Miller, Christopher Bigs(Introduction)",9780142437339
Cat's Cradle,Kurt Vonnegut Jr.,9780140285604
The God of Small Things,"Arundhati Roy (Goodreads Author), Claude Demanuelli (Translator), Barbara Auer (Narrator), Diana Quick (Reading), Luana Stoica (trad.), Donada Peters (Narrator), Josep Julià Ballbé (Translator)",9780679457312
The Wind in the Willows,"Kenneth Grahame, Gillian Avery (Introduction)",9780143039099
The Screwtape Letters,C.S. Lewis,B002BD2V2Y
Girl with a Pearl Earring,Tracy Chevalier (Goodreads Author),9780452287020
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,"Corrie ten Boom, John Sherrill, Elizabeth Sherrill (Goodreads Author)",9780553256697
A Light in the Attic,Shel Silverstein,9780060513061
The Silence of the Lambs,Thomas Harris,9780099446781
Shiver,Maggie Stiefvater (Goodreads Author),9780545123266
Uglies,Scott Westerfeld (Goodreads Author),9780689865381
City of Fallen Angels,Cassandra Clare (Goodreads Author),9781442403543
Man's Search for Meaning,"Viktor E. Frankl, Harold S. Kushner (Foreword), William J. Winslade (Afterword), Isle Lasch (Translator)",9780807014295
She's Come Undone,Wally Lamb (Goodreads Author),9780671021009
The Phantom of the Opera,"Gaston Leroux, Alexander Teixeira de Mattos (Translator)",9780060809249
Marley and Me: Life and Love With the World's Worst Dog,John Grogan,9780739461198
Ella Enchanted,Gail Carson Levine (Goodreads Author),9780590920681
The Wind-Up Bird Chronicle,"Haruki Murakami, Jay Rubin (Translator)",9780965341981
Cinder,Marissa Meyer (Goodreads Author),9999999999999
The Green Mile,Stephen King (Goodreads Author),9780451933027
Blindness,José Saramago,B003T0GBOM
A Clash of Kings,George R.R. Martin,9780553381696
The Sound and the Fury,William Faulkner,9999999999999
The Shack,William Paul Young,B001B8Z2S0
